,title,link,published,Category
0,L'avenir politique de la France passera par les seniors | Slate.fr - Slate.fr,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LnNsYXRlLmZyL3N0b3J5LzI1MTQ1Mi9lbGVjdG9yYXQtc2VuaW9ycy1hdmVuaXItcG9saXRpcXVlLXBhcnRpLWZyYW5jZS1wb3B1bGlzbWXSAV9odHRwczovL3d3dy5zbGF0ZS5mci9zdG9yeS8yNTE0NTIvZWxlY3RvcmF0LXNlbmlvcnMtYXZlbmlyLXBvbGl0aXF1ZS1wYXJ0aS1mcmFuY2UtcG9wdWxpc21lP2FtcA?oc=5,"Wed, 09 Aug 2023 17:00:00 GMT",politique
1,"Bernard Arnault et les politiques, la puissance d'un groupe au cœur de la République - Le Monde",https://news.google.com/rss/articles/CBMimwFodHRwczovL3d3dy5sZW1vbmRlLmZyL3BvbGl0aXF1ZS9hcnRpY2xlLzIwMjMvMDgvMDgvYmVybmFyZC1hcm5hdWx0LWV0LWxlcy1wb2xpdGlxdWVzLWxhLXB1aXNzYW5jZS1kLXVuLWdyb3VwZS1hdS1jLXVyLWRlLWxhLXJlcHVibGlxdWVfNjE4NDc1Ml84MjM0NDguaHRtbNIBAA?oc=5,"Tue, 08 Aug 2023 03:30:07 GMT",politique
2,Politique. Aurélie Sivignon élue maire de Saint-Micaud - JSL - le Journal de Saone et Loire,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmxlanNsLmNvbS9wb2xpdGlxdWUvMjAyMy8wOC8wOS9hdXJlbGllLXNpdmlnbm9uLWVsdWUtbWFpcmUtZGUtc2FpbnQtbWljYXVk0gEA?oc=5,"Wed, 09 Aug 2023 21:32:00 GMT",politique
3,"Roger Karoutchi, sénateur LR, sur le Niger : ""Revoir la politique africaine, ça veut dire revoir notre politique de co ... - BFMTV",https://news.google.com/rss/articles/CBMi5AFodHRwczovL3d3dy5iZm10di5jb20vcG9saXRpcXVlL3JvZ2VyLWthcm91dGNoaS1zZW5hdGV1ci1sci1zdXItbGUtbmlnZXItcmV2b2lyLWxhLXBvbGl0aXF1ZS1hZnJpY2FpbmUtY2EtdmV1dC1kaXJlLXJldm9pci1ub3RyZS1wb2xpdGlxdWUtZGUtY28tZGV2ZWxvcHBlbWVudC1ldC1yZXZvaXItbm90cmUtcG9saXRpcXVlLWRlLXByZXNlbmNlLWN1bHR1cmVsbGVfVk4tMjAyMzA4MDgwMjUzLmh0bWzSAegBaHR0cHM6Ly93d3cuYmZtdHYuY29tL2FtcC9wb2xpdGlxdWUvcm9nZXIta2Fyb3V0Y2hpLXNlbmF0ZXVyLWxyLXN1ci1sZS1uaWdlci1yZXZvaXItbGEtcG9saXRpcXVlLWFmcmljYWluZS1jYS12ZXV0LWRpcmUtcmV2b2lyLW5vdHJlLXBvbGl0aXF1ZS1kZS1jby1kZXZlbG9wcGVtZW50LWV0LXJldm9pci1ub3RyZS1wb2xpdGlxdWUtZGUtcHJlc2VuY2UtY3VsdHVyZWxsZV9WTi0yMDIzMDgwODAyNTMuaHRtbA?oc=5,"Tue, 08 Aug 2023 09:21:39 GMT",politique
4,La politique migratoire de l'Union européenne fragilisée au Niger - Le Figaro,https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmxlZmlnYXJvLmZyL2ludGVybmF0aW9uYWwvbGEtcG9saXRpcXVlLW1pZ3JhdG9pcmUtZGUtbC11bmlvbi1ldXJvcGVlbm5lLWZyYWdpbGlzZWUtYXUtbmlnZXItMjAyMzA4MDnSAQA?oc=5,"Wed, 09 Aug 2023 17:11:37 GMT",politique
5,"La Cédéao, une institution économique à forte teneur politique - FRANCE 24",https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LmZyYW5jZTI0LmNvbS9mci9hZnJpcXVlLzIwMjMwODA5LWxhLWMlQzMlQTlkJUMzJUE5YW8tdW5lLWluc3RpdHV0aW9uLSVDMyVBOWNvbm9taXF1ZS0lQzMlQTAtZm9ydGUtdGVuZXVyLXBvbGl0aXF1ZdIBfmh0dHBzOi8vYW1wLmZyYW5jZTI0LmNvbS9mci9hZnJpcXVlLzIwMjMwODA5LWxhLWMlQzMlQTlkJUMzJUE5YW8tdW5lLWluc3RpdHV0aW9uLSVDMyVBOWNvbm9taXF1ZS0lQzMlQTAtZm9ydGUtdGVuZXVyLXBvbGl0aXF1ZQ?oc=5,"Wed, 09 Aug 2023 08:48:02 GMT",politique
6,Jamboree scout en Corée : de la « honte nationale » à la crise politique - La Croix,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmxhLWNyb2l4LmNvbS9SZWxpZ2lvbi9KYW1ib3JlZS1zY291dC1Db3JlZS1ob250ZS1uYXRpb25hbGUtY3Jpc2UtcG9saXRpcXVlLTIwMjMtMDgtMDktMTIwMTI3ODMxN9IBAA?oc=5,"Wed, 09 Aug 2023 12:23:40 GMT",politique
7,"Sabrina Agresti-Roubache au JDD : « La politique du chéquier, c'est fini, ça ne marche pas » - Le Journal du dimanche",https://news.google.com/rss/articles/CBMieWh0dHBzOi8vd3d3LmxlamRkLmZyL3BvbGl0aXF1ZS9zYWJyaW5hLWFncmVzdGktcm91YmFjaGUtYXUtamRkLWxhLXBvbGl0aXF1ZS1kdS1jaGVxdWllci1jZXN0LWZpbmktY2EtbmUtbWFyY2hlLXBhcy0xMzc2MTXSAQA?oc=5,"Tue, 08 Aug 2023 16:58:38 GMT",politique
8,Entre déconnexion et communication… Pourquoi les politiques sont-ils fans de randonnée ? - 20 Minutes,https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LjIwbWludXRlcy5mci9wb2xpdGlxdWUvNDA0ODMzOS0yMDIzMDgwOS1lbnRyZS1kZWNvbm5leGlvbi1jb21tdW5pY2F0aW9uLXBvdXJxdW9pLXBvbGl0aXF1ZXMtZmFucy1yYW5kb25uZWXSASRodHRwczovL20uMjBtaW51dGVzLmZyL2FtcC9hLzQwNDgzMzk?oc=5,"Wed, 09 Aug 2023 05:02:36 GMT",politique
9,"Poursuivi dans 200 affaires, Imran Khan voit son avenir politique s'obscurcir - FRANCE 24",https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5mcmFuY2UyNC5jb20vZnIvYXNpZS1wYWNpZmlxdWUvMjAyMzA4MDktcG91cnN1aXZpLWRhbnMtMjAwLWFmZmFpcmVzLWltcmFuLWtoYW4tdm9pdC1zb24tYXZlbmlyLXBvbGl0aXF1ZS1zLW9ic2N1cmNpctIBgAFodHRwczovL2FtcC5mcmFuY2UyNC5jb20vZnIvYXNpZS1wYWNpZmlxdWUvMjAyMzA4MDktcG91cnN1aXZpLWRhbnMtMjAwLWFmZmFpcmVzLWltcmFuLWtoYW4tdm9pdC1zb24tYXZlbmlyLXBvbGl0aXF1ZS1zLW9ic2N1cmNpcg?oc=5,"Wed, 09 Aug 2023 12:31:09 GMT",politique
